"Fiscal Year",Employer,"Initial Approval","Initial Denial","Continuing Approval","Continuing Denial",NAICS,"Tax ID",State,City,ZIP
2022,,0,0,1,0,33,1389,TX,AUSTIN,78746
2022,,0,0,1,0,51,5198,GA,NORCROSS,30092
2022,,0,0,1,0,42,0475,WA,TUKWILA,98188
2022,,0,0,0,1,54,2535,TX,IRVING,75063
2022,,1,0,0,0,54,1050,OH,CINCINNATI,45246
2022,,1,0,0,0,54,0492,NV,RENO,89511
2022,,1,0,0,0,54,0288,TX,PLANO,75024
2022,"0 NORTH AVE WAKEFIELD LLC",1,0,0,0,53,4694,MA,WAKEFIELD,01880
2022,"012 GLOBAL INC",0,0,1,0,99,3065,FL,"POMPANO BEACH",33063
2022,"0965688 BC LTD DBA PROCOGIA",1,0,1,0,51,0209,WA,SEATTLE,98101
2022,"1 800 CONTACTS INC",0,0,1,0,42,1643,UT,DRAPER,84020
2022,"1 800 FLOWERS COM INC",0,0,7,1,45,7311,NY,JERICHO,11753
2022,"1 A LIFESAFER INC",1,0,0,0,33,4685,OH,CINCINNATI,45241
2022,"1 NATUARL WAY LLC",1,0,0,0,42,6962,OH,MAUMEE,43537
2022,"1 POINT SYSTEM LLC",1,0,0,0,54,6496,SC,"FORT MILL",29708
2022,"1 TO 1 THERAPIES INC",0,0,1,0,62,1480,CA,TORRANCE,90505
2022,"1 WORLD EDUCATION, INC.",1,0,0,0,61,1468,CA,"LOS ANGELES",90056
2022,"10 FOLD COMMUNICATIONS INC",1,0,0,0,54,8409,CA,"WALNUT CREEK",94596
2022,"10 SOUTH STREET HOTEL OPERATOR LLC",1,0,0,0,72,1655,NY,"NEW YORK",10004
2022,"100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC",1,0,0,0,62,6555,AZ,MESA,85205
2022,"100MS INC",1,0,0,0,51,3914,CA,NEWARK,94560
2022,"100PLUS INC",0,0,1,0,56,0014,CA,"SAN FRANCISCO",94105
2022,"1010DATA SERVICES LLC",0,0,3,0,54,8507,NY,"NEW YORK",10016
2022,"1028 MICROPATENT",0,0,1,0,99,8616,AZ,CHANDLER,85226
2022,"1047 GAMES INC DBA SPLITGATE",1,0,0,0,51,5678,NV,"ZEPHYR COVE",89448
2022,"1052 PARTNERS INC DBA PEOPLECADDIE",0,0,1,0,56,3077,IL,"DES PLAINES",60018
2022,"108 INFO SYSTEM LLC",1,0,0,0,54,7012,VA,RESTON,20190
2022,"10BITS LLC",10,0,10,0,54,5441,TX,IRVING,75063
2022,"10T HOLDINGS LLC",0,0,1,0,52,6555,CT,GREENWICH,06830
2022,"10X GENOMICS INC",19,0,29,0,54,4458,CA,PLEASANTON,94588
2022,"10X GENOMICS INC",1,0,0,0,54,4458,CA,PLEASANTON,64588
2022,"110 HOLDINGS LLC",1,0,1,0,54,9516,WA,BELLEVUE,98005
2022,"1199 NATIONAL BENEFIT FUND FOR HEALTH HUMAN SERVICE EMPLOYEES",0,0,1,0,52,8401,NY,"NEW YORK",10018
2022,"12 INTERACTIVE LLC",1,0,0,0,54,1764,IL,CHICAGO,60654
2022,"120 DEGREEZ ENGINEERING",1,0,0,0,54,0643,CA,"EL SEGUNDO",90245
2022,"1211 WPR MED SVCS PC DBA BRONXDOCS",0,0,1,0,62,9346,NY,BRONX,10472
2022,"1211 WPR MEDICAL SERVICES PC",1,0,1,0,62,9346,NY,BRONX,10472
2022,"13 RATTLES INC",0,0,1,0,42,0721,NY,"NEW YORK",10013
2022,"14 STREET MEDICAL PC",1,0,0,0,62,8803,NY,"NEW YORK",10003
2022,"14 WEST ADMINISTRATIVE SVCS LLC",0,0,2,0,51,5681,MD,BALTIMORE,21201
2022,"1540 VISION DRIVE LLC DBA MOUNDVIEW DAIRY",1,0,0,0,31,7656,WI,PLATTEVILLE,53818
2022,"15FIVE INC",1,0,0,0,54,2755,CA,"SAN FRANCISCO",94123
2022,"161 ST PHARMA INC",0,0,1,0,44,0125,NY,BRONX,10451
2022,"1661 INC D/B/A GOAT",3,0,8,0,45,1406,CA,"LOS ANGELES",90018
2022,"168 TRADING US FUND LP",0,0,1,0,52,3776,DE,WILMINGTON,19801
2022,"1788 CHICKEN LLC",0,0,1,0,72,8911,TX,AUSTIN,78746
2022,"188 ONLINE LLC DBA NILI LOTAN",0,0,2,0,54,1458,NY,"NEW YORK",10013
2022,"1898 CAPITAL MANAGEMENT LLC",2,0,0,0,52,4471,TX,"MISSOURI CITY",77459
2022,"19 VARNUM ST OPERATING CO LLC",0,0,1,0,62,1991,MA,LOWELL,01850
2022,"1910 GENETICS INC",1,0,0,0,99,2635,MA,BOSTON,02210
2022,"1970 GROUP INC",0,0,1,0,52,0464,NY,JERICHO,11753
2022,"1A1 INNOVATIONS LLC",1,0,0,0,54,9911,FL,"MADEIRA BEACH",33708
2022,"1BYONE PRODUCTS INC",2,0,0,0,42,4817,CA,ONTARIO,91761
